reference,Title,year,validate_results,contribute_to_academia,task_objective_group,task,se_task,se_activity,ml_task,research_focus,Datasets,Baselines,Metrics,Validation Methods,Ground Truth ,Reliablity_Summary,Relevance_Summary,Reliablity_Score,Relevance_Score,ground_truth_score,baseline_score,metrics_score,validation_score,datasets_score,ground_truth_note,baseline_note,metrics_note,validation_note,datasets_note,baseline
alhamed2022evaluation,evaluation of context-aware language models and experts for effort estimation of software maintenance issues,2022,3.0,3.0,1,Effort and Resource Estimation,Effort estimation,software_management,classification,existing_solution_evaluation,"DEEP-SE, JOSSE, Porru, PPI, Industrial Dataset","DT with TF-IDF, DT with learned embeddings, Human Expert Estimations","AUC-ROC, F-score",Cross-validation,Actual time spent/ SP ,"The evaluation strategy employs multiple datasets and robust cross-validation, ensuring consistency and reproducibility. Metrics such as AUC-ROC and F-score are well-suited to effort estimation tasks, as they address class imbalance effectively. Framing effort estimation as a categorization problem (e.g., Planning Poker-inspired categorization) enhances the reliability of the evaluation by balancing calibration and informativeness in the context of imbalanced data.","The use of actual effort data (actual time and story points) as ground truth strengthens the relevance of the evaluation to real-world applications. Furthermore, categorizing effort enables the application of evaluation metrics (AUC-ROC and F-score) that offer more meaningful and actionable insights. This approach aligns well with practical needs in early project phases, where rapid and informed estimations are critical for decision-making.",4,4,1,1,1,1,1,High-quality ground truth using actual time spent,Multiple baseline types including ML and human experts,"Comprehensive metrics (AUC-ROC, F-score) addressing class imbalance",Robust cross-validation strategy,Multiple diverse datasets with real-world data,nan
fu2022gpt2sp,GPT2SP: A Transformer-Based Agile Story Point Estimation Approach,2023,3.0,3.0,1,Effort and Resource Estimation,Effort Estimation,software_management,regression,direct_solution,16 open-source projects,"Traditional ML, deep learning, analogy-based methods",MAE,Within- and cross-project scenarios,Estimated SP ,"Robust statistical methods ensure meaningful comparisons across models. However, the lack of transparency in MAE interpretation and uniformity in story point ranges complicates the interpretation of evaluation results, potentially limiting their reproducibility and clarity.","By covering both within- and cross-project scenarios, the evaluation provides valuable insights into the model's ability to generalize from other projects to new projects with limited information, addressing a critical aspect of real-world applicability. However, a significant limitation lies in the use of estimated story points as ground truth, as these estimates are inherently uncertain, reducing the evaluation’s ability to reliably assess real-world performance. While a user study highlights the perceived utility of AI-assisted predictions, reliance on MAE alone does not fully capture the solution’s capability to provide ""fair-enough"" estimations. Additionally, evaluation on open-source projects limits insights to the generalization capability to industrial settings.",3,3,-1,1,0,1,1,Ground truth based on uncertain story point estimates,Comprehensive baseline comparison across paradigms,Single metric (MAE) limits insight,Within and cross-project validation,Multiple open-source projects with good diversity,nan
li2024fine,Fine-SE: Integrating Semantic Features and Expert Features for Software Effort Estimation,2024,,,1,Effort and Resource Estimation,Effort Estimation,software_management,regression,direct_solution,"JIRA projects, 17 enterprise projects","TF-IDF, LDA, Deep-SE, GPT2SP","MAE, MMRE, PRED(50)",Cross-validation,Actual effort in person-months ,"The evaluation employs cross-validation and transparently presents metric scores (MAE, MMRE, PRED(50)) for each project in comprehensible tables, enhancing reliability and clarity. Metrics assess calibration and informativeness, providing meaningful insights into the evaluation's robustness and effectiveness.","The evaluation combines open-source and industrial projects, providing a diverse set of real-world scenarios for assessing generalizability. Additionally, the inclusion of within-project and cross-project evaluations offers complementary perspectives on model performance. The use of actual effort in person-months as ground truth is a major strength, ensuring the evaluation reflects real-world applicability. Metrics like PRED(50) highlight calibration and informativeness, further addressing practical utility.",4,4,1,1,1,1,1,Actual effort in person-months as ground truth,Diverse baseline approaches,"Multiple complementary metrics (MAE, MMRE, PRED)",Cross-validation with clear methodology,Mixed dataset (open-source and industrial),nan
isotani2021duplicate,duplicate bug report detection by using sentence embedding and fine-tuning,2021,,,1,Bug Triage and Assignment,Duplicate Bug Report Detection,software_maintenance,generation,direct_solution,NTT Corporation bug reports,"TF-IDF, LDA",MAP,5-fold cross-validation,Human-labeled duplicates and non-duplicates ,"Small dataset size (51 bug reports) and high duplicate ratio (90\%) introduce bias, inflating performance metrics. Reliance on MAP alone limits comprehensive evaluation. Basic baselines reduce robustness.",Homogeneous dataset and unrepresentative duplicate frequency affect real-world applicability. Lack of user studies and scalability considerations limits practical utility.,2,2,-1,-1,-1,1,-1,Manual labeling without quality metrics,Limited baseline comparison,Single metric (MAP) without context,5-fold cross-validation implemented,Small dataset (51 reports) with bias,nan
lee2022light,a light bug triage framework for applying large pre-trained language model,2023,3.0,3.0,1,Bug Triage and Assignment,Bug triage,software_maintenance,classification,direct_solution,"Google Chromium, Mozilla Core, Mozilla Firefox, Private Industrial Dataset","Transformer-based methods, Traditional ML",acc@k (Top-k Accuracy),Real-world benchmarking,Actual developers who fixed each bug report ,"The evaluation employs cross-validation and a large number of bug reports, enhancing reliability through robust statistical validation and dataset size. While Top-k Accuracy (acc@k) reflects practical use cases, the lack of complementary metrics limits a more comprehensive understanding of the evaluation results. The absence of qualitative evaluation and inference time analysis also constrains the assessment of broader aspects of evaluation robustness.","The use of real-world datasets ensures the evaluation aligns with practical bug triage scenarios. Metrics like acc@k address real-world needs for prioritizing the most likely relevant predictions. However, the evaluation is constrained by the focus on open-source datasets (limited to the browser development domain) and an unspecified industrial dataset domain, which affects generalizability to other contexts.",3,4,1,1,0,1,1,Actual developer assignments as ground truth,Multiple transformer and ML baselines,Limited to acc@k metrics,Real-world benchmarking approach,Large-scale multi-source dataset,nan
kou2023automated,Automated Summarization of Stack Overflow Posts,2023,3.0,3.0,1,Summarization and Knowledge Extraction,Code review and software/code classification,software_maintenance,generation,direct_solution,"SOSum dataset, additional labeled posts","Heuristic-based, BERT-based, unservised method","Precision, Recall, F1-score","10-fold cross-validation, user study",Human-labeled summaries ,"The evaluation employs cross-validation, quantitative metrics (precision, recall, F1-score), and a qualitative user study, enhancing evaluation robustness. Diverse datasets and baseline models further strengthen reliability. However, the small size of the user study limits generalizability.","The evaluation provides insights into performance across different post types (e.g., how-to, conceptual, bug-fixing), addressing practical use cases for developers. Measuring helpfulness through a user study offers valuable real-world feedback, but the evaluation could have been further strengthened by assessing time savings, a critical factor in developer productivity. Additionally, the lack of scalability metrics for larger threads limits broader applicability.",4,4,1,1,1,1,1,Human-labeled summaries with validation,Multiple paradigm baselines,Multiple complementary metrics,Cross-validation plus user study,SOSum dataset with additional labeled posts,nan
ciborowska2022fast,fast changeset-based bug localization with bert,2022,3.0,3.0,2,Bug Detection and Localization,Bug report related,software_maintenance,classification,direct_solution,"AspectJ, JDT, PDE, SWT, Tomcat, ZXing (OS)","Locus, TBERT-Single, TBERT-Siamese","Precision@K, MAP, MRR","Ablation (granularity, encoding), Runtime analysis",Manually validated mappings (SZZ error mitigated) ,"The evaluation employs a manually validated dataset consisting of six open-source software projects and applies well-established IR metrics. Comparative baselines are rigorously considered, and multiple encoding strategies (\textbf{D, ARC, ARCL}) and data granularities (\textbf{changesets, changeset-files, hunks}) are evaluated. However, the reliance on datasets limited to \textbf{open-source projects} restricts the generalizability of the findings to proprietary or industrial software systems.","The chosen evaluation metrics (\textbf{Precision@K, MAP, MRR}) align well with the task's objectives by effectively measuring retrieval accuracy and ranking quality. Additionally, the study lacks \textbf{cross-project validation}, which limits insights into the model's generalization to unseen projects. Runtime performance is thoroughly assessed, addressing the practical need for efficiency in real-world settings. However, the evaluation omits qualitative developer feedback, integration testing in CI/CD workflows, and validation of practical benefits such as time savings or bug-fixing efficiency. Moreover, the study does not report \textbf{training or fine-tuning times}, which are critical for assessing deployment feasibility in resource-constrained environments.",3,4,1,1,1,1,-1,Manually validated mappings,Multiple approach comparison,IR-specific metrics suite,Ablation and runtime analysis,Limited to open-source projects,nan
gomes2023bert,bert- and tf-idf-based feature extraction for long-lived bug prediction in floss: a comparative study,2023,2.0,3.0,2,Bug Detection and Localization,Bug prediction,software_maintenance,generation,existing_solution_evaluation,"Eclipse, Freedesktop, GCC, Gnome, Mozilla, WineHQ (OS, 50K+ reports)","TF-IDF, SVM, RF, k-NN, NB, NN",Balanced Accuracy,"10x5 CV, Wilcoxon test (95\%)",Bug fix times (1-year threshold) ,Six publicly available datasets ensure transparency and reproducibility. A consistent one-year labeling threshold and a 75/25 train-test split with cross-validation provide robustness. Balanced Accuracy effectively addresses class imbalance.,"The comparison between BERT and TF-IDF highlights practical trade-offs. Balanced Accuracy serves as the primary metric, but F1-Score could better address false positives and negatives. Insights are limited by a within-project evaluation, lack of training/fine-tuning time details, and absence of qualitative validation or inference time analysis limiting insights to practical deployment of the solution.",3,3,1,1,1,1,1,Clear temporal threshold for labeling,Multiple ML paradigm baselines,Balanced metrics for imbalance,Cross-validation with statistical tests,Large-scale multi-project dataset,nan
liu2024testing,Testing the limits: Unusual text inputs generation for mobile app crash detection with large language model,2023,,,2,Bug Detection and Localization,Mobile app crash detection,software_quality_assurance,classification,direct_solution,"36 widgets, 31 Android apps (OS)","18 baselines: fuzzing, mutation, string analysis, GUI tools","Detection rate, Attempts, Time","Ablation (modules), GUI integration, Manual validation",Crash reproducibility verified manually and by developers ,"The study systematically evaluates \textbf{InputBlaster} using key metrics and module-level ablation studies. Manual validation ensures crash reproducibility and correctness. The dataset was carefully constructed to prevent overlaps with training data, enhancing the robustness of the assessment. However, the evaluation is based on a relatively small set of \textbf{36 widgets across 31 apps}, which may limit generalizability. Additionally, the \textbf{distribution of input widget types (e.g., login fields, search boxes, numeric fields)} is not explicitly reported, raising questions about the dataset's representativeness.","The evaluation demonstrates alignment with real-world bug detection goals. Integration with automated GUI testing tools showcases practical applicability, with positive feedback from developers validating the findings. However, aspects such as deployment overheads remain underexplored, and the tool's ability to detect subtle usability or logical errors is not thoroughly investigated.",3,4,1,1,1,1,-1,Manual validation by developers,Comprehensive baseline suite,Multiple effectiveness metrics,Ablation and GUI integration,Limited widget sample size,nan
huang2024crashtranslator,CrashTranslator: Automatically Reproducing Mobile Application Crashes Directly from Stack Trace,2024,,,2,Bug Detection and Localization,Bug reproduction,software_maintenance,generation,direct_solution,"75 crash reports, 58 Android apps (OS, IND)","ReCDroid, Monkey, Humanoid, Ape, Q-Testing","Success rate, Time to reproduce","Ablation (scorer impact), Manual validation (14 testers)",Automated reproduction confirmed manually and systematically ,"The study systematically evaluates \textbf{CrashTranslator} using metrics directly aligned with crash reproduction goals, such as success rate and reproducing time. Validation combines automated scripts, manual verification, and ablation studies, ensuring robust assessment. However, the dataset size is relatively modest (\textbf{75 crash reports across 58 apps}), and the diversity of app types and crash scenarios remains underexplored. Additionally, manual validation relied on postgraduate testers, limiting real-world representativeness.","Metrics align with real-world crash reproduction goals, emphasizing efficiency and effectiveness. Integration with established tools and datasets demonstrates applicability. However, deployment overheads remain unassessed, and the tool's ability to handle complex user-specific or environmental preconditions is not thoroughly evaluated.",3,4,1,1,1,1,-1,Systematic reproduction validation,Multiple tool-based baselines,Task-specific success metrics,Ablation and manual validation,Limited crash report sample,nan
